frameIndex,localTime,globalTime
375,59976.472405997,119940.47193353868
376,59976.505739624,119940.50526716569
377,59976.539073501,119940.53860104267
378,59976.572387892,119940.57191543368
379,59976.605716148,119940.60524368967
380,59976.639062877,119940.63859041868
381,59976.672392384,119940.67191992569
382,59976.705723821,119940.70525136268
383,59976.739052535,119940.73858007668
384,59976.772380805,119940.77190834668
385,59976.805709563,119940.80523710468
386,59976.839050248,119940.83857778969
387,59976.872373006,119940.87190054767
388,59976.905704305,119940.90523184667
389,59976.939039021,119940.93856656269
390,59976.972367825,119940.97189536667
391,59977.005706963,119941.00523450467
392,59977.039026308,119941.03855384968
393,59977.072367072,119941.07189461368
394,59977.105696876,119941.10522441768
395,59977.139016057,119941.13854359867
396,59977.172360525,119941.17188806669
397,59977.205687872,119941.20521541368
398,59977.239010934,119941.23853847568
399,59977.272357694,119941.27188523568
400,59977.305679503,119941.30520704467
401,59977.339015762,119941.33854330369
402,59977.372347779,119941.37187532068
403,59977.405663873,119941.40519141468
404,59977.439001222,119941.43852876368
405,59977.472344482,119941.47187202369
406,59977.505669374,119941.50519691568
407,59977.539000381,119941.53852792268
408,59977.572322863,119941.57185040468
409,59977.605667495,119941.60519503668
410,59977.638984556,119941.63851209768
411,59977.672321397,119941.67184893868
412,59977.705663154,119941.70519069568
413,59977.738986091,119941.73851363268
414,59977.772318638,119941.77184617968
415,59977.805639659,119941.80516720068
416,59977.838979707,119941.83850724867
417,59977.872310768,119941.87183830969
418,59977.905651901,119941.90517944268
419,59977.938974462,119941.93850200367
420,59977.972294136,119941.97182167768
421,59978.005635142,119942.00516268368
422,59978.03897487,119942.03850241168
423,59978.072295378,119942.07182291968
424,59978.105622148,119942.10514968968
425,59978.138960446,119942.13848798769
426,59978.1722853,119942.17181284168
427,59978.205624598,119942.20515213968
428,59978.238947324,119942.23847486568
429,59978.272288332,119942.27181587368
430,59978.305607631,119942.30513517268
431,59978.338952608,119942.33848014969
432,59978.372277241,119942.37180478268
433,59978.405607801,119942.40513534268
434,59978.438949767,119942.43847730868
435,59978.472262161,119942.47178970269
436,59978.505605544,119942.50513308568
437,59978.538927884,119942.53845542567
438,59978.572263947,119942.57179148868
439,59978.605588453,119942.60511599468
440,59978.638928639,119942.63845618068
441,59978.672253939,119942.67178148069
442,59978.705580792,119942.70510833367
443,59978.738918341,119942.73844588269
444,59978.77225736,119942.77178490168
445,59978.805591158,119942.80511869967
446,59978.83890997,119942.83843751167
447,59978.872247226,119942.87177476767
448,59978.905586146,119942.90511368768
449,59978.938915119,119942.93844266067
450,59978.972233463,119942.97176100468
451,59979.005580019,119943.00510756069
452,59979.038903989,119943.03843153067
453,59979.072231921,119943.07175946268
454,59979.105572891,119943.10510043267
455,59979.138903613,119943.13843115469
456,59979.172232998,119943.17176053967
457,59979.20554822,119943.20507576168
458,59979.238895706,119943.23842324768
459,59979.272211377,119943.27173891867
460,59979.305559274,119943.30508681567
461,59979.338888279,119943.33841582068
462,59979.372220844,119943.37174838569
463,59979.405548891,119943.40507643268
464,59979.438881538,119943.43840907968
465,59979.472212208,119943.47173974969
466,59979.50553494,119943.50506248168
467,59979.538865361,119943.53839290267
468,59979.57220485,119943.57173239169
469,59979.605532061,119943.60505960268
470,59979.638859481,119943.63838702269
471,59979.672204756,119943.67173229769
472,59979.705531423,119943.70505896468
473,59979.738866824,119943.73839436568
474,59979.772186119,119943.77171366068
475,59979.805517062,119943.80504460368
476,59979.838852563,119943.83838010469
477,59979.872183773,119943.87171131468
478,59979.905511369,119943.90503891069
479,59979.938841585,119943.93836912667
480,59979.972179062,119943.97170660368
481,59980.005499153,119944.00502669468
482,59980.038832838,119944.03836037968
483,59980.072175054,119944.07170259568
484,59980.10550999,119944.10503753167
485,59980.138841748,119944.13836928968
486,59980.172173348,119944.17170088968
487,59980.20549185,119944.20501939168
488,59980.238826237,119944.23835377868
489,59980.272159001,119944.27168654268
490,59980.305483471,119944.30501101268
491,59980.338821193,119944.33834873469
492,59980.372155455,119944.37168299669
493,59980.405485135,119944.40501267668
494,59980.438813438,119944.43834097969
495,59980.472151993,119944.47167953468
496,59980.505475839,119944.50500338068
497,59980.538800435,119944.53832797668
498,59980.572146751,119944.57167429267
499,59980.605463133,119944.60499067468
500,59980.63879111,119944.63831865168
501,59980.672136993,119944.67166453469
502,59980.705472511,119944.70500005268
503,59980.738783394,119944.73831093567
504,59980.772120663,119944.77164820468
505,59980.80545892,119944.80498646168
506,59980.838788897,119944.83831643869
507,59980.872115742,119944.87164328368
508,59980.905441915,119944.90496945668
509,59980.938779728,119944.93830726968
510,59980.972106359,119944.97163390068
511,59981.005433839,119945.00496138068
512,59981.03877897,119945.03830651168
513,59981.072106241,119945.07163378267
514,59981.105444371,119945.10497191269
515,59981.138768351,119945.13829589268
516,59981.172090773,119945.17161831468
517,59981.205428444,119945.20495598568
518,59981.238757881,119945.23828542267
519,59981.27208918,119945.27161672167
520,59981.305429701,119945.30495724268
521,59981.33875879,119945.33828633168
522,59981.372090311,119945.37161785268
523,59981.405410609,119945.40493815068
524,59981.438739796,119945.43826733768
525,59981.472087594,119945.47161513567
526,59981.505421907,119945.50494944869
527,59981.538741787,119945.53826932868
528,59981.572076267,119945.57160380868
529,59981.605415273,119945.60494281468
530,59981.638726321,119945.63825386268
531,59981.672075592,119945.67160313368
532,59981.705401932,119945.70492947368
533,59981.738732077,119945.73825961868
534,59981.772069125,119945.77159666669
535,59981.805392647,119945.80492018868
536,59981.838723568,119945.83825110967
537,59981.872052829,119945.87158037067
538,59981.905393854,119945.90492139568
539,59981.938718358,119945.93824589968
540,59981.972041676,119945.97156921768
541,59982.005373259,119946.00490080068
542,59982.038702912,119946.03823045368
543,59982.072041122,119946.07156866368
544,59982.10538498,119946.10491252168
545,59982.138715898,119946.13824343968
546,59982.172046381,119946.17157392268
547,59982.205358675,119946.20488621667
548,59982.238708344,119946.23823588568
549,59982.272032579,119946.27156012069
550,59982.305364955,119946.30489249667
551,59982.338689063,119946.33821660468
552,59982.372024525,119946.37155206667
553,59982.405356508,119946.40488404968
554,59982.438690011,119946.43821755267
555,59982.472013556,119946.47154109768
556,59982.505343622,119946.50487116368
557,59982.538673128,119946.53820066969
558,59982.57202082,119946.57154836168
559,59982.605352822,119946.60488036368
560,59982.638675724,119946.63820326568
561,59982.672012099,119946.67153964068
562,59982.705330293,119946.70485783467
563,59982.738663669,119946.73819121068
564,59982.771999112,119946.77152665368
565,59982.805325697,119946.80485323869
566,59982.838656699,119946.83818424068
567,59982.87198734,119946.87151488167
568,59982.905314137,119946.90484167868
569,59982.93864816,119946.93817570168
570,59982.971991332,119946.97151887367
571,59983.005312811,119947.00484035269
572,59983.038644191,119947.03817173268
573,59983.071969088,119947.07149662968
